Report generated on: 09-09-2022 23:18:25
"API","","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.4010-8-ALB-MMTCD.A","            Consumed natural gas (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5555033","0.61105363","0.5555033","0.61105363","0.61105363","0.5555033","0.77770462","0.88880528","1.38875825","1.38875825","0.500067221","0.2769558","0.199518958","0.058659238","0.05871463","0.05871463","0.058684164","0.039122776","0.058684164","0.039122776","0.058684164","0.058684164","0.058684164","0.058684164","0.058684164","0.058684164","0.058684164","0.019336545","0.05649194","0.05649194","0.018587066","0.018587066","0.031598012","0.035315426","0.059478612","0.065054731","0.083641087","0.092934541","0.079780155","0.078161524"
"INTL.4006-8-ALB-MMTCD.A","            Petroleum and other liquids (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.68327","6.4","6.2","6.3","6.2","6","5.9","5.3","4.9","4.3","3.2","2.7","3.2","2.5","2","2.2","1.8","1.8","2.2","2.8","3.1","3.4","3.6","4.1","4.2","4.5","4.4","2.931691361237335","4.2","2.6","3.324997881899636","3.4288065328305564","3.0847170139933486","3.5750986293409546","3.672343193180522","3.584554","3.816463","4.186072188274984","3.747185810218978","3.481544"
"","Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Emissions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-DZA-MMTCD.A","        CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.663590904","39.376193382","56.531989464","63.168954306","66.766862302","61.757201027","60.918466391","64.343004942","68.905407218","66.690494969","69.771552386","76.419208682","74.390488044","68.124087913","70.374999308","72.736848793","71.012657374","67.107992316","70.732529323","70.688902551","70.059526819","70.833440803","72.178921283","72.47891745","71.878509389","82.857278684","86.028784805","87.289444714","56.222555406","99.380185852","101.352896736","112.488751213","122.016837732","118.720563943","131.695938497","138.622437629","137.190705524","137.678348102","145.987969135","151.632826943"
"INTL.4002-8-DZA-MMTCD.A","            Coal and coke (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.237672237362358","0.714217515132653","1.9103921965168353","3.098849772551452","3.1941929688484145","3.1947908938975","3.2291326584954003","3.272900408508922","3.3293181510061522","3.3699629690925015","3.136276186336495","2.8988870146652372","2.687475377076457","2.1107678078482515","2.150592493381486","1.2844319320923743","1.4431295561997366","1.5370154480326272","1.7045100918305958","1.6895217443985149","1.6438877112332413","1.6712003672664604","1.080030514972979","1.147744565526467","1.1657894477239945","1.2514522634862215","0.9704014796178339","1.1245624194500456","1.1530319361988526","1.1596179417871089","1.0998774436506722","1.4079356144051138","1.3887992445235853","0.9822674996421996","0.8337871136914249","0.513684727478933","0.39696490128164547","0.4101888764506955","0.23264744689886027","0.35233435914181477"
"INTL.4010-8-DZA-MMTCD.A","            Consumed natural gas (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.799158667","21.661975867","34.621597267","41.070104533","42.572669333","36.562410133","37.689333733","41.070104533","44.576089067","41.320532","42.6352762","48.520321667","45.703012667","41.013320105","43.224406815","46.452416861","45.569527818","42.570976868","44.028019231","44.999380807","43.415639108","43.162240436","43.098890768","43.331172884","40.712719941","50.605826421","54.058383325","52.645867478","55.06952347","57.22056791","57.347919292","65.426772599","71.324733487","65.562083443","77.813684383","78.840454902","79.132962623","82.131664226","89.160554488","93.413596384"
"INTL.4006-8-DZA-MMTCD.A","            Petroleum and other liquids (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.62676","17","20","19","21","22","20","20","21","22","24","25","26","25","25","25","24","23","25","24","25","26","28","28","30","31","31","33.5190148167424","0","41","42.9051","45.654043","49.303305","52.176213","53.048467","59.268298","57.660778","55.136495","56.59476720000001","57.8668962"
"","American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Emissions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-ASM-MMTCD.A","        CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.425070708","0.499607404","0.696422442","0.439048931","0.500976192","0.469328168","0.484467786","0.503031549","0.488869517","0.548365307","0.577441663","0.577441663","0.594548215","0.578368968","0.562878486","0.547388003","0.548879294","0.562878486","0.562878486","0.562878562","0.550420816","0.550420816","0.559929816","0.559929816","0.559929816","0.59155027","0.601936254","0.601936254","0.603585394","0.601936254","0.601936254","0.35542766","0.356401475","0.35542766","0.35542766","0.35542766","0.355427692","0.35542766","0.35542766","0.35542766"
"INTL.4002-8-ASM-MMTCD.A","            Coal and coke (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4010-8-ASM-MMTCD.A","            Consumed natural gas (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4006-8-ASM-MMTCD.A","            Petroleum and other liquids (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4250707079909395","0.4996074041521142","0.6964224421514319","0.4390489309215549","0.5009761915607501","0.46932816753683454","0.48446778584447436","0.503031549086549","0.48886951700063414","0.5483653074530108","0.5774416634147796","0.5774416634147796","0.5945482150816962","0.5783689681827054","0.5628784856089789","0.5473880030352523","0.5488792936545979","0.5628784856089789","0.5628784856089789","0.5628785621348409","0.5504208158890284","0.5504208158890297","0.5599298158890297","0.5599298158890297","0.559929815889029","0.5915502698612858","0.601936253876573","0.601936253876573","0.6035853942981527","0.601936253876573","0.601936253876573","0.35542766025567596","0.35640147462432703","0.35542766025567596","0.35542766025567596","0.35542766025567596","0.355427691701","0.3554276602528645","0.3554276602528645","0.3554276602528645"
"","Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Emissions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-AGO-MMTCD.A","        CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.390313036","3.388842904","3.5555033","3.86660396","3.36660396","4.32215429","4.57770462","4.68880528","4.89990594","4.73325495","4.855407096","5.0110066","5.218203145","5.098585546","4.919904059","5.298585546","5.098585546","5.718203145","4.837820744","5.698585546","5.418203145","7.339732749","7.81629114","8.275143938","8.571319928","8.475143938","9.433996735","10.42826072","10.833996735","12.353614334","16.434704769","17.299774448","18.379759527","20.113909041","21.743562538","22.910923406","21.782970703","19.150669135","17.644576606","19.361932503"
"INTL.4002-8-AGO-MMTCD.A","            Coal and coke (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4010-8-AGO-MMTCD.A","            Consumed natural gas (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.511063036","0.488842904","0.5555033","0.66660396","0.66660396","0.72215429","0.77770462","0.88880528","0.99990594","0.83325495","1.055407096","1.1110066","1.118203145","1.098585546","1.019904059","1.098585546","1.098585546","1.118203145","1.137820744","1.098585546","1.118203145","1.039732749","1.21629114","1.275143938","1.471319928","1.275143938","1.333996735","1.62826072","1.333996735","1.353614334","1.439931769","1.475243448","1.490937527","0.800398041","0.453166538","1.516440406","1.575292703","1.594910135","1.679087606","1.688849743"
"INTL.4006-8-AGO-MMTCD.A","            Petroleum and other liquids (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.87925","2.9","3","3.2","2.7","3.6","3.8","3.8","3.9","3.9","3.8","3.9","4.1","4","3.9","4.2","4","4.6","3.7","4.6","4.3","6.3","6.6","7","7.1","7.2","8.1","8.8","9.5","11","14.994773","15.824531","16.888822","19.313511","21.290396","21.394483","20.207678","17.555759","15.965489","17.67308276"
"","Antarctica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Emissions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-ATA-MMTCD.A","        CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14064","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.2","0.3","0.2","0.2","0.014352207","0.014382064","0.01434261","0.014342885","0.014228501","0.01422098","0.013782287","0.013782287","0.027564573"
"INTL.4002-8-ATA-MMTCD.A","            Coal and coke (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4010-8-ATA-MMTCD.A","            Consumed natural gas (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4006-8-ATA-MMTCD.A","            Petroleum and other liquids (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14064","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.2","0.3","0.2","0.2","0.01435220662329516","0.014382064471704249","0.014342609920296033","0.014342885241616315","0.014228501312967068","0.014220979731334753","0.013782286568490414","0.013782286568490414","0.02756457313698082"
"","Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Emissions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-ATG-MMTCD.A","        CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.40738","0.4","0.5","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.7","0.690569119","0.7","0.7","0.7","0.690076094","0.707217069","0.705863443","0.719317413","0.751413","0.762758","0.7159054","0.7348894","0.7288483"
"INTL.4002-8-ATG-MMTCD.A","            Coal and coke (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4010-8-ATG-MMTCD.A","            Consumed natural gas (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4006-8-ATG-MMTCD.A","            Petroleum and other liquids (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.40738","0.4","0.5","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.7","0.690569118967115","0.7","0.7","0.7","0.6900760943510734","0.7072170693937353","0.705863443141811","0.7193174128154632","0.751413","0.762758","0.7159053999909106","0.7348893999933047","0.7288483"
"","Argentina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Emissions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-ARG-MMTCD.A","        CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.02991395","90.736786366","93.950122066","94.251595681","98.3154848","92.07706013","104.423396088","105.510430365","108.456624636","107.366089785","99.378868848","104.194766287","105.550799495","115.861464739","112.113003975","115.12491699","123.061078645","125.789623885","133.648446173","139.373299261","137.719422129","127.29822538","119.221962694","133.003494925","140.36175665","151.993641709","156.319849034","157.872228733","169.176780166","168.427120196","186.427005161","190.293575528","195.564808595","196.689236739","197.325871069","214.14898796","214.123012963","195.140106755","191.358658271","193.204748113"
"INTL.4002-8-ARG-MMTCD.A","            Coal and coke (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.391599689852559","3.0309036856570266","3.1272422258991655","2.809768820712236","2.178012720151835","2.6129712097958495","3.4008085880754493","3.5765656647819513","3.6436568162205147","3.762741644504662","3.373197091991671","2.9033674707330985","2.9067754614336154","2.6717194971441094","3.631131263845445","3.2782618741668146","3.0423406889392477","2.9079468039345664","2.9094844447441686","3.012014386290295","2.6938266192748777","2.1690747679792723","1.9529239675501666","2.2954222741132373","3.1335023358742435","3.811615740788358","3.5532465501135575","3.709767365875138","4.221444526926133","3.958460445647715","3.664643535025859","3.9376084238093667","4.320512129060256","4.3579233623068525","4.120341975645265","3.856025041080181","3.7252909746798535","3.6567264015481706","3.045990256963641","2.1221489122414314"
"INTL.4010-8-ARG-MMTCD.A","            Consumed natural gas (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.54257426","19.70588268","24.82287984","24.44182686","31.13747208","31.46408892","34.0225875","32.9338647","38.81296782","43.60334814","39.005671756","43.291398816","43.644024034","46.189745242","47.481872711","52.846655116","56.018737956","55.881677081","59.738961728","63.361284875","65.02559551","61.129150612","59.269038726","67.708072651","74.228254314","79.182025968","81.766602484","85.995909509","86.955335639","84.46865975","84.762361626","90.323117159","90.930101038","91.386317953","92.17931302","92.007007919","94.824563988","96.042437425","98.150879926","96.875014689"
"INTL.4006-8-ARG-MMTCD.A","            Petroleum and other liquids (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.09574","68","66","67","65","58","67","69","66","60","57","58","59","67","61","59","64","67","71","73","70","64","58","63","63","69","71","68.16655185859841","78","80","98","96.03284994497102","100.31419542828901","100.94499542412532","101.02621607363832","118.285955","115.573158","95.440942928","90.161788088","94.207584512"
"","Armenia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Emissions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-ARM-MMTCD.A","        CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","11.100206809","6.866926082","6.02829579","7.089674037","8.071509648","7.479557823","7.864828592","7.743406613","8.372155215","8.551151861","8.242803401","8.796330443","9.013094019","10.236721093","10.237780075","11.155403577","11.092445857","10.041619888","4.813019398","5.238929565","5.991110422","5.808716504","5.983706514","5.026330456","5.388280856","5.764256766","5.976457104","6.35375489"
"INTL.4002-8-ARM-MMTCD.A","            Coal and coke (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0.35133338817034215","0.2205177665987413","0.0897021450271473","0.051080391593933946","0.04017516978907754","0.02926994798422147","0.018364726179365565","0.012736336919675753","0.0060737497930986855","0.004687995211687507","0.004485106121129507","0.006807370351110729","0.003953347053591833","0.0017292558391950475","0.0027882381614686637","0.006802404093663479","0.006249241562970009","0.0008920368738210741","0.005790764510503211","0.007507561734142141","0.006603066244764888","0.003152398510729008","0.0024840500505722315","0.0027976529887909414","0.002848839375426815","0.003707182164699603","0.004416816179560155","0.011522964521354737"
"INTL.4010-8-ARM-MMTCD.A","            Consumed natural gas (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","3.648873421","2.746408315","3.138593645","3.138593645","3.531334478","2.550287875","2.746463866","2.530670276","2.766081465","2.746463866","2.138318295","2.589523073","2.609140672","3.334991837","3.334991837","4.029454843","3.786196615","3.040727851","3.570403025","4.060843001","4.806311765","4.727841369","4.90439976","4.021607803","4.347223017","4.617943584","4.869455288","4.977930205"
